FIPS,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured 1,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,High School Graduation Rate,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Age-Adjusted Death Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Uninsured 2,% Uninsured 3,Average Grade Performance 1,Average Grade Performance 2,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index 2,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Average Traffic Volume per Meter of Major Roadways,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,Population,% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,Employed 2015,Employed 2020,Employment Growth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Other Primary Care Provider Ratio,Employment Growth Band,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_District of Columbia,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhode Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming
1001,791.0,8129.0,21,4.7,4.7,9.0,18,33,7.2,35,69.0,15,27.0,407.2,25.0,9.0,7108.0,41.0,41.0,90.0,62,942.0,25957.0,3.6,19.0,110026.0,21019.0,5.2,26.0,12.1,272.0,69.0,11.7,0,15,87.0,40.0,76.9,418.0,14,14,11,219.0,13,12.0,19.0,36,11.0,3.0,3.0,2.8,59338.0,43.0,24.0,18.0,16.0,88,15814,75,2726.0,13.0,55601,23.7,15.6,19.3,0.5,1.2,0.1,3.0,74.3,1,51.4,42.0,23986.0,24580.0,2.4764445926790626,2220.0,3089.0,4277.0,2527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,2967.0,7354.0,18,4.2,4.3,8.0,17,31,8.0,27,74.0,18,31.0,325.0,28.0,11.0,4041.0,43.0,44.0,86.0,67,3393.0,93849.0,3.6,14.0,111447.0,25227.0,4.4,24.0,10.2,204.0,72.0,10.3,0,14,84.0,42.0,78.5,353.0,12,13,11,167.0,12,5.0,16.0,33,14.0,4.0,3.0,2.9,57588.0,48.0,32.0,19.0,14.0,87,57881,74,8813.0,12.0,218022,21.6,20.4,8.8,0.8,1.2,0.1,4.6,83.1,1,51.5,42.3,85953.0,98768.0,14.909310902469954,1372.0,2019.0,1038.0,1787.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,472.0,10254.0,30,5.4,5.2,11.0,22,42,5.6,24,53.0,13,40.0,716.3,41.0,12.0,6209.0,45.0,37.0,81.0,35,433.0,8373.0,5.2,44.0,76557.0,13475.0,5.7,57.0,7.5,414.0,70.0,11.5,0,15,83.0,32.0,75.3,497.0,17,17,18,421.0,22,11.0,23.0,39,16.0,3.0,2.7,2.4,34382.0,63.0,23.0,13.0,18.0,102,5640,61,1190.0,14.0,24881,20.9,19.4,48.0,0.7,0.5,0.2,4.3,45.6,2,47.2,67.8,8597.0,8707.0,1.2795161102710249,3159.0,2765.0,12441.0,1914.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,471.0,11978.0,19,4.6,4.6,10.0,19,38,7.8,34,16.0,16,28.0,339.7,42.0,10.0,5961.0,40.0,38.0,84.0,44,344.0,8661.0,4.0,28.0,87957.0,20134.0,4.4,29.0,8.4,89.0,108.0,11.2,0,10,85.0,50.0,73.6,589.0,14,14,15,197.0,14,3.0,26.0,38,13.0,3.0,2.6,2.4,46064.0,62.0,53.0,21.0,24.0,29,5135,75,638.0,10.0,22400,20.5,16.5,21.1,0.4,0.2,0.1,2.6,74.6,0,46.8,68.4,8294.0,8303.0,0.1085121774776947,2061.0,4480.0,4480.0,896.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,1085.0,11335.0,22,4.9,4.9,8.0,19,34,8.4,30,16.0,14,19.0,234.4,34.0,13.0,4060.0,34.0,39.0,93.0,53,878.0,25006.0,3.5,18.0,91702.0,20699.0,4.4,29.0,8.4,483.0,107.0,11.7,0,11,86.0,59.0,74.1,516.0,15,15,17,100.0,11,3.0,29.0,36,17.0,4.0,3.0,2.8,50412.0,53.0,18.0,17.0,20.0,33,16197,79,1630.0,8.0,57840,23.2,18.2,1.5,0.7,0.3,0.1,9.6,86.9,2,50.7,90.0,22189.0,22836.0,2.9158592095182296,4463.0,5258.0,6427.0,4449.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,203.0,11680.0,31,5.4,4.9,16.0,23,37,4.3,25,3.0,12,60.0,863.3,48.0,11.0,6632.0,35.0,28.0,70.0,35,224.0,4776.0,4.7,68.0,69189.0,9337.0,7.4,75.0,7.8,311.0,107.0,11.2,0,18,79.0,46.0,73.5,562.0,17,16,24,633.0,25,20.0,48.0,45,15.0,2.0,2.5,2.2,29267.0,76.0,31.0,18.406893652795294,21.0,4,2726,76,605.0,19.0,10138,21.1,16.4,69.5,0.8,0.2,0.7,8.0,21.2,0,45.5,51.4,3865.0,4007.0,3.6739974126778794,3436.0,5069.0,5069.0,1126.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,423.0,14360.0,28,5.4,5.3,13.0,22,43,6.6,40,49.0,12,27.0,761.7,38.0,11.0,9203.0,42.0,35.0,82.0,42,427.0,8914.0,4.8,36.0,80036.0,14757.0,5.4,53.0,9.1,582.0,100.0,10.6,1,13,84.0,32.0,72.9,609.0,17,17,19,311.0,21,3.0,30.0,42,15.0,3.0,2.7,2.6,37365.0,79.0,38.0,9.0,24.0,19,4692,70,711.0,12.0,19680,22.2,20.3,44.6,0.4,1.3,0.1,1.5,51.3,0,53.4,71.2,7813.0,7971.0,2.0222705746832204,3965.0,3280.0,1968.0,1406.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,2373.0,12079.0,23,4.9,4.8,9.0,21,39,6.9,32,48.0,14,19.0,654.6,34.0,12.0,6581.0,32.0,38.0,92.0,59,2139.0,45972.0,4.7,27.0,90822.0,18078.0,5.0,40.0,14.5,756.0,90.0,11.8,0,14,85.0,31.0,73.0,575.0,15,15,18,226.0,16,9.0,19.0,41,15.0,2.0,3.1,2.9,45400.0,59.0,41.0,20.0,26.0,110,31286,69,5024.0,12.0,114277,21.6,17.7,20.9,0.5,1.0,0.1,3.9,72.0,1,51.9,33.7,47401.0,47905.0,1.063268707411236,1572.0,1706.0,866.0,1786.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,654.0,11113.0,24,4.9,4.9,12.0,19,40,6.4,30,62.0,13,29.0,611.0,45.0,12.0,5622.0,38.0,42.0,86.0,48,597.0,15276.0,3.9,31.0,80754.0,17019.0,4.7,47.0,17.8,529.0,81.0,11.4,0,16,85.0,32.0,74.3,512.0,15,15,20,388.0,18,10.0,23.0,37,15.0,3.0,2.6,2.4,39917.0,71.0,26.0,21.0,21.0,20,9159,68,1561.0,12.0,33615,20.8,19.5,39.6,0.3,1.3,0.0,2.6,55.2,0,52.1,49.1,13689.0,14724.0,7.560815253122946,2408.0,5603.0,16808.0,6723.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,568.0,12350.0,21,4.8,4.7,8.0,17,35,8.3,31,33.0,14,20.0,321.0,37.0,11.0,5521.0,36.0,41.0,95.0,52,415.0,11622.0,3.6,25.0,81932.0,17401.0,4.7,24.0,8.5,330.0,109.0,11.4,0,13,83.0,46.0,74.0,545.0,14,15,15,117.0,13,0.0,36.0,35,14.0,3.0,3.0,2.7,42132.0,62.0,29.0,24.0,27.0,26,8374,79,989.0,10.0,26032,19.2,23.0,4.2,0.7,0.3,0.0,1.6,91.7,0,50.5,85.7,10155.0,10310.0,1.5263417035942886,2586.0,6508.0,5206.0,1240.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
